x,sigmoid_value,piecewise
0.352000,4.997918,5.000000
0.353000,4.997979,5.000000
0.354000,4.998039,5.000000
0.355000,4.998097,5.000000
0.356000,4.998153,5.000000
0.357000,4.998208,5.000000
0.358000,4.998260,5.000000
0.359000,4.998312,5.000000
0.360000,4.998362,5.000000
0.361000,4.998410,5.000000
0.362000,4.998457,5.000000
0.363000,4.998503,5.000000
0.364000,4.998547,5.000000
0.365000,4.998590,5.000000
0.366000,4.998632,5.000000
0.367000,4.998672,5.000000
0.368000,4.998711,5.000000
0.369000,4.998749,5.000000
0.370000,4.998786,5.000000
0.371000,4.998822,5.000000
0.372000,4.998857,5.000000
0.373000,4.998891,5.000000
0.374000,4.998923,5.000000
0.375000,4.998955,5.000000
0.376000,4.998986,5.000000
0.377000,4.999016,5.000000
0.378000,4.999045,5.000000
0.379000,4.999073,5.000000
0.380000,4.999101,5.000000
0.381000,4.999127,5.000000
0.382000,4.999153,5.000000
0.383000,4.999178,5.000000
0.384000,4.999202,5.000000
0.385000,4.999226,5.000000
0.386000,4.999249,5.000000
0.387000,4.999271,5.000000
0.388000,4.999293,5.000000
0.389000,4.999313,5.000000
0.390000,4.999334,5.000000
0.391000,4.999353,5.000000
0.392000,4.999373,5.000000
0.393000,4.999391,5.000000
0.394000,4.999409,5.000000
0.395000,4.999427,5.000000
0.396000,4.999444,5.000000
0.397000,4.999460,5.000000
0.398000,4.999476,5.000000
0.399000,4.999491,5.000000
0.400000,4.999506,5.000000
0.401000,4.999521,5.000000
0.402000,4.999535,5.000000
0.403000,4.999549,5.000000
0.404000,4.999562,5.000000
0.405000,4.999575,5.000000
0.406000,4.999588,5.000000
0.407000,4.999600,5.000000
0.408000,4.999612,5.000000
0.409000,4.999623,5.000000
0.410000,4.999634,5.000000
0.411000,4.999645,5.000000
0.412000,4.999656,5.000000
0.413000,4.999666,5.000000
0.414000,4.999676,5.000000
0.415000,4.999685,5.000000
0.416000,4.999695,5.000000
0.417000,4.999704,5.000000
0.418000,4.999712,5.000000
0.419000,4.999721,5.000000
0.420000,4.999729,5.000000
0.421000,4.999737,5.000000
0.422000,4.999745,5.000000
0.423000,4.999752,5.000000
0.424000,4.999760,5.000000
0.425000,4.999767,5.000000
0.426000,4.999774,5.000000
0.427000,4.999780,5.000000
0.428000,4.999787,5.000000
0.429000,4.999793,5.000000
0.430000,4.999799,5.000000
0.431000,4.999805,5.000000
0.432000,4.999811,5.000000
0.433000,4.999817,5.000000
0.434000,4.999822,5.000000
0.435000,4.999827,5.000000
0.436000,4.999832,5.000000
0.437000,4.999837,5.000000
0.438000,4.999842,5.000000
0.439000,4.999847,5.000000
0.440000,4.999851,5.000000
0.441000,4.999856,5.000000
0.442000,4.999860,5.000000
0.443000,4.999864,5.000000
0.444000,4.999868,5.000000
0.445000,4.999872,5.000000
0.446000,4.999876,5.000000
0.447000,4.999879,5.000000
0.448000,4.999883,5.000000
0.449000,4.999887,5.000000
0.450000,4.999890,5.000000
0.451000,4.999893,5.000000
0.452000,4.999896,5.000000
0.453000,4.999899,5.000000
0.454000,4.999902,5.000000
0.455000,4.999905,5.000000
0.456000,4.999908,5.000000
0.457000,4.999911,5.000000
0.458000,4.999913,5.000000
0.459000,4.999916,5.000000
0.460000,4.999918,5.000000
0.461000,4.999921,5.000000
0.462000,4.999923,5.000000
0.463000,4.999925,5.000000
0.464000,4.999928,5.000000
0.465000,4.999930,5.000000
0.466000,4.999932,5.000000
0.467000,4.999934,5.000000
0.468000,4.999936,5.000000
0.469000,4.999938,5.000000
0.470000,4.999940,5.000000
0.471000,4.999941,5.000000
0.472000,4.999943,5.000000
0.473000,4.999945,5.000000
0.474000,4.999946,5.000000
0.475000,4.999948,5.000000
0.476000,4.999950,5.000000
0.477000,4.999951,5.000000
0.478000,4.999952,5.000000
0.479000,4.999954,5.000000
0.480000,4.999955,5.000000
0.481000,4.999957,5.000000
0.482000,4.999958,5.000000
0.483000,4.999959,5.000000
0.484000,4.999960,5.000000
0.485000,4.999961,5.000000
0.486000,4.999963,5.000000
0.487000,4.999964,5.000000
0.488000,4.999965,5.000000
0.489000,4.999966,5.000000
0.490000,4.999967,5.000000
0.491000,4.999968,5.000000
0.492000,4.999969,5.000000
0.493000,4.999970,5.000000
0.494000,4.999971,5.000000
0.495000,4.999971,5.000000
0.496000,4.999972,5.000000
0.497000,4.999973,5.000000
0.498000,4.999974,5.000000
0.499000,4.999975,5.000000
0.500000,4.999975,5.000000
0.501000,4.999976,5.000000
0.502000,4.999977,5.000000
0.503000,4.999978,5.000000
0.504000,4.999978,5.000000
0.505000,4.999979,5.000000
0.506000,4.999979,5.000000
0.507000,4.999980,5.000000
0.508000,4.999981,5.000000
0.509000,4.999981,5.000000
0.510000,4.999982,5.000000
0.511000,4.999982,5.000000
0.512000,4.999983,5.000000
0.513000,4.999983,5.000000
0.514000,4.999984,5.000000
0.515000,4.999984,5.000000
0.516000,4.999985,5.000000
0.517000,4.999985,5.000000
0.518000,4.999986,5.000000
0.519000,4.999986,5.000000
0.520000,4.999987,5.000000
0.521000,4.999987,5.000000
0.522000,4.999987,5.000000
0.523000,4.999988,5.000000
0.524000,4.999988,5.000000
0.525000,4.999988,5.000000
0.526000,4.999989,5.000000
0.527000,4.999989,5.000000
0.528000,4.999989,5.000000
0.529000,4.999990,5.000000
0.530000,4.999990,5.000000
0.531000,4.999990,5.000000
0.532000,4.999991,5.000000
0.533000,4.999991,5.000000
0.534000,4.999991,5.000000
0.535000,4.999991,5.000000
0.536000,4.999992,5.000000
0.537000,4.999992,5.000000
0.538000,4.999992,5.000000
0.539000,4.999992,5.000000
0.540000,4.999993,5.000000
0.541000,4.999993,5.000000
0.542000,4.999993,5.000000
0.543000,4.999993,5.000000
0.544000,4.999993,5.000000
0.545000,4.999994,5.000000
0.546000,4.999994,5.000000
0.547000,4.999994,5.000000
0.548000,4.999994,5.000000
0.549000,4.999994,5.000000
0.550000,4.999995,5.000000
0.551000,4.999995,5.000000
0.552000,4.999995,5.000000
0.553000,4.999995,5.000000
0.554000,4.999995,5.000000
0.555000,4.999995,5.000000
0.556000,4.999995,5.000000
0.557000,4.999996,5.000000
0.558000,4.999996,5.000000
0.559000,4.999996,5.000000
0.560000,4.999996,5.000000
0.561000,4.999996,5.000000
0.562000,4.999996,5.000000
0.563000,4.999996,5.000000
0.564000,4.999996,5.000000
0.565000,4.999997,5.000000
0.566000,4.999997,5.000000
0.567000,4.999997,5.000000
0.568000,4.999997,5.000000
0.569000,4.999997,5.000000
0.570000,4.999997,5.000000
0.571000,4.999997,5.000000
0.572000,4.999997,5.000000
0.573000,4.999997,5.000000
0.574000,4.999997,5.000000
0.575000,4.999997,5.000000
0.576000,4.999997,5.000000
0.577000,4.999998,5.000000
0.578000,4.999998,5.000000
0.579000,4.999998,5.000000
0.580000,4.999998,5.000000
0.581000,4.999998,5.000000
0.582000,4.999998,5.000000
0.583000,4.999998,5.000000
0.584000,4.999998,5.000000
0.585000,4.999998,5.000000
0.586000,4.999998,5.000000
0.587000,4.999998,5.000000
0.588000,4.999998,5.000000
0.589000,4.999998,5.000000
0.590000,4.999998,5.000000
0.591000,4.999998,5.000000
0.592000,4.999998,5.000000
0.593000,4.999998,5.000000
0.594000,4.999999,5.000000
0.595000,4.999999,5.000000
0.596000,4.999999,5.000000
0.597000,4.999999,5.000000
0.598000,4.999999,5.000000
0.599000,4.999999,5.000000
0.600000,4.999999,5.000000
0.601000,4.999999,5.000000
0.602000,4.999999,5.000000
0.603000,4.999999,5.000000
0.604000,4.999999,5.000000
0.605000,4.999999,5.000000
0.606000,4.999999,5.000000
0.607000,4.999999,5.000000
0.608000,4.999999,5.000000
0.609000,4.999999,5.000000
0.610000,4.999999,5.000000
0.611000,4.999999,5.000000
0.612000,4.999999,5.000000
0.613000,4.999999,5.000000
0.614000,4.999999,5.000000
0.615000,4.999999,5.000000
0.616000,4.999999,5.000000
0.617000,4.999999,5.000000
0.618000,4.999999,5.000000
0.619000,4.999999,5.000000
0.620000,4.999999,5.000000
0.621000,4.999999,5.000000
0.622000,4.999999,5.000000
0.623000,4.999999,5.000000
0.624000,4.999999,5.000000
0.625000,4.999999,5.000000
0.626000,4.999999,5.000000
0.627000,4.999999,5.000000
0.628000,4.999999,5.000000
0.629000,4.999999,5.000000
0.630000,5.000000,5.000000
0.631000,5.000000,5.000000
0.632000,5.000000,5.000000
0.633000,5.000000,5.000000
0.634000,5.000000,5.000000
0.635000,5.000000,5.000000
0.636000,5.000000,5.000000
0.637000,5.000000,5.000000
0.638000,5.000000,5.000000
0.639000,5.000000,5.000000
0.640000,5.000000,5.000000
